0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.087
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785
0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785,0.785
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122,-0.122
0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569,0.569
0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155,0.155
0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109,0.109
2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429,2.429
-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448,-5.448
-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685
-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685,-0.685
34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52
34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52,34.52
0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58,0.58
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0
